"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-02-02",,"77","33"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-02-03",,"73","34"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-02-04",,"75","30"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-02-05",,"78","35"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-02-06",,"75","37"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-02-07",,"78","42"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-02-08",,"75","41"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-02-09",,"77","41"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-02-10",,"77","36"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-02-11",,"78","37"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-02-12",,"77","39"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-02-13",,"75","41"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-02-14",,"77","40"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-02-15",,"78","38"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-02-16",,"77","39"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-02-17",,"77","40"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-02-18",,"78","39"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-02-19",,"77","39"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-02-20",,"78","39"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-02-21",,"84","39"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-02-22",,"82","42"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-02-23",,"75","39"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-02-24",,"78","40"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-02-25",,"78","41"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-02-26",,"77","39"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-02-27",,"86","39"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-02-28",,"78","41"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-03-01",,"77","41"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-03-02",,"75","41"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-03-03",,"78","42"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-03-04",,"80","42"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-03-05",,"77","44"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-03-06",,"77","42"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-03-07",,"79","42"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-03-08",,"82","42"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-03-09",,"80","41"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-03-10",,"80","41"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-03-11",,"78","41"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-03-12",,"75","42"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-03-13",,"78","44"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-03-14",,"77","42"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-03-15",,"80","42"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-03-16",,"77","44"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-03-17",,"75","44"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-03-18",,"80","46"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-03-19",,"77","42"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-03-20",,"78","44"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-03-21",,"77","44"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-03-22",,"78","42"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-03-23",,"82","42"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-03-24",,"79","39"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-03-25",,"82","46"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-03-26",,"71","44"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-03-27",,"65","42"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-03-28",,"60","43"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-03-29",,"66","39"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-03-30",,"69","46"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-03-31",,"77","46"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-04-01",,"75","46"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-04-02",,"77","44"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-04-03",,"78","42"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-04-04",,"77","42"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-04-05",,"75","44"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-04-06",,"73","42"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-04-07",,"77","44"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-04-08",,"73","46"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-04-09",,"78","44"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-04-10",,"77","46"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-04-11",,"77","46"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-04-12",,"77","46"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-04-13",,"78","48"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-04-14",,"78","48"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-04-15",,"75","44"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-04-16",,"73","46"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-04-17",,"77","44"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-04-18",,"78","46"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-04-19",,"80","48"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-04-20",,"78","48"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-04-21",,"79","48"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-04-22",,,"46"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-04-23",,,
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-04-24",,,
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-04-25",,,
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-04-26",,,
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-04-27",,,
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-04-28",,,
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-04-29",,,
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-04-30",,,
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-05-01",,,
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-05-02",,,
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-05-03",,,
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-05-04",,,
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-05-05",,,
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-05-06",,,
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-05-07",,,
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-05-08",,,
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-05-09",,,
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-05-10",,,
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-05-11",,,
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-05-12",,,
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-05-13",,,
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-05-14",,,
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-05-15",,,
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-05-16",,,
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-05-17",,,
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-05-18",,,
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-05-19",,,
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-05-20",,,
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-05-21",,,
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-05-22",,,
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-05-23",,,
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-05-24",,,
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-05-25",,,
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-05-26",,,
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-05-27",,,
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-05-28",,,
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-05-29",,,
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-05-30",,,
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-05-31",,,
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-06-01",,,
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-06-02",,,
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-06-03",,,
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-06-04",,,
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-06-05",,,
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-06-06",,,
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-06-07",,,
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-06-08",,,
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-06-09",,,
